ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
21:28:00.142,210,405,50,23,31,8.38,P8,0x0000000000000001
21:28:01.249,210,405,50,19,31,8.35,P8,0x0000000000000001
21:28:02.384,210,405,50,19,31,8.35,P8,0x0000000000000001
21:28:03.496,210,405,50,19,31,8.34,P8,0x0000000000000001
21:28:04.609,210,405,50,7,30,8.33,P8,0x0000000000000001
21:28:05.741,210,405,50,15,31,8.35,P8,0x0000000000000001
21:28:06.849,210,405,50,7,30,8.30,P8,0x0000000000000001
21:28:07.963,210,405,50,7,30,8.53,P8,0x0000000000000001
21:28:09.092,210,405,50,23,27,8.19,P8,0x0000000000000001
21:28:10.219,210,405,50,19,31,8.22,P8,0x0000000000000001
21:28:11.325,210,405,50,7,30,8.33,P8,0x0000000000000001
21:28:12.430,210,405,50,19,31,8.28,P8,0x0000000000000001
21:28:13.530,210,405,50,19,31,8.33,P8,0x0000000000000001
21:28:14.630,210,405,50,26,32,8.30,P8,0x0000000000000001
21:28:15.731,210,405,50,14,31,8.33,P8,0x0000000000000001
21:28:16.846,210,405,50,19,32,8.30,P8,0x0000000000000001
21:28:17.958,210,405,50,12,30,8.29,P8,0x0000000000000001
21:28:19.074,210,405,50,15,30,8.34,P8,0x0000000000000001
21:28:20.190,210,405,50,19,31,8.50,P8,0x0000000000000001
21:28:21.292,210,405,50,7,30,8.29,P8,0x0000000000000001
21:28:22.409,210,405,50,7,30,8.32,P8,0x0000000000000001
21:28:23.524,210,405,50,18,31,8.34,P8,0x0000000000000001
21:28:24.626,255,405,51,17,24,8.15,P8,0x0000000000000001
21:28:25.742,255,405,51,29,31,8.32,P8,0x0000000000000001
21:28:26.846,210,405,51,19,31,8.35,P8,0x0000000000000001
21:28:27.955,210,405,51,18,31,8.57,P8,0x0000000000000001
21:28:29.069,210,405,51,19,29,8.34,P8,0x0000000000000001
21:28:30.171,210,405,51,19,31,8.34,P8,0x0000000000000001
21:28:31.284,210,405,51,31,32,8.39,P8,0x0000000000000001
21:28:32.385,210,405,51,19,31,8.47,P8,0x0000000000000001
21:28:33.491,210,405,51,19,31,8.43,P8,0x0000000000000001
21:28:34.592,210,405,51,19,31,8.45,P8,0x0000000000000001
21:28:35.696,210,405,51,19,31,8.52,P8,0x0000000000000001
21:28:36.797,210,405,51,22,31,8.46,P8,0x0000000000000001
21:28:37.908,210,405,51,19,33,8.42,P8,0x0000000000000001
21:28:39.041,210,405,51,19,31,8.48,P8,0x0000000000000001
21:28:40.165,210,405,51,19,31,8.30,P8,0x0000000000000001
21:28:41.266,210,405,51,19,31,8.48,P8,0x0000000000000001
21:28:42.390,210,405,51,19,31,8.46,P8,0x0000000000000001
21:28:43.514,210,405,51,19,31,8.42,P8,0x0000000000000001
21:28:44.625,210,405,51,18,31,8.50,P8,0x0000000000000001
21:28:45.727,210,405,51,19,31,8.51,P8,0x0000000000000001
21:28:46.827,210,405,51,19,31,8.45,P8,0x0000000000000001
21:28:47.943,210,405,51,19,31,8.47,P8,0x0000000000000001
21:28:49.054,210,405,51,7,30,8.43,P8,0x0000000000000001
21:28:50.168,210,405,51,19,31,8.50,P8,0x0000000000000001
21:28:51.279,210,405,51,19,31,8.42,P8,0x0000000000000001
21:28:52.387,210,405,51,19,31,8.44,P8,0x0000000000000001
21:28:53.516,210,405,51,16,30,8.46,P8,0x0000000000000001
21:28:54.630,210,405,51,18,26,8.26,P8,0x0000000000000001
21:28:55.743,210,405,51,14,31,8.42,P8,0x0000000000000001
21:28:56.860,210,405,51,31,32,8.55,P8,0x0000000000000001
21:28:57.978,210,405,51,32,32,8.53,P8,0x0000000000000001
21:28:59.093,210,405,51,18,31,8.44,P8,0x0000000000000001
21:29:00.212,210,405,51,18,31,8.39,P8,0x0000000000000001
21:29:01.332,210,405,51,19,31,8.40,P8,0x0000000000000001
21:29:02.462,210,405,51,29,32,8.44,P8,0x0000000000000001
21:29:03.581,210,405,51,19,31,8.43,P8,0x0000000000000001
21:29:04.685,210,405,51,19,31,8.43,P8,0x0000000000000001
21:29:05.793,210,405,51,18,31,8.45,P8,0x0000000000000001
21:29:06.898,210,405,51,18,31,8.39,P8,0x0000000000000001
21:29:08.002,210,405,51,31,32,8.35,P8,0x0000000000000001
21:29:09.487,255,405,51,33,30,8.40,P8,0x0000000000000001
21:29:10.619,255,405,51,27,32,8.31,P8,0x0000000000000001
21:29:11.730,210,405,51,7,30,8.39,P8,0x0000000000000001
21:29:12.860,210,405,51,19,31,8.38,P8,0x0000000000000001
21:29:13.989,210,405,51,31,30,8.36,P8,0x0000000000000001
21:29:15.099,210,405,51,7,30,8.39,P8,0x0000000000000001
21:29:16.210,210,405,51,19,31,8.40,P8,0x0000000000000001
21:29:17.338,210,405,51,13,30,8.35,P8,0x0000000000000001
21:29:18.442,210,405,50,13,30,8.38,P8,0x0000000000000001
21:29:19.546,210,405,50,41,32,8.36,P8,0x0000000000000001
21:29:20.659,210,405,50,19,31,8.36,P8,0x0000000000000001
21:29:21.759,210,405,50,32,32,8.33,P8,0x0000000000000001
21:29:22.861,210,405,50,19,31,8.28,P8,0x0000000000000001
21:29:23.985,210,405,50,11,30,8.25,P8,0x0000000000000001
21:29:25.101,210,405,50,19,30,8.17,P8,0x0000000000000001
