ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
11:02:00,3929,38732,4,6662,9606,gradle#18952:ws605/pv684|gradle#2472:ws101/pv198|gradle#4144:ws554/pv623|client#37848:ws5402/pv8101
11:02:10,9963,29715,1,605,684,gradle#18952:ws605/pv684
11:02:21,10004,29703,1,605,684,gradle#18952:ws605/pv684
11:02:31,10042,29636,1,605,684,gradle#18952:ws605/pv684
11:02:42,10049,29613,1,605,684,gradle#18952:ws605/pv684
11:02:52,10031,29632,1,606,684,gradle#18952:ws606/pv684
11:03:03,10014,29655,1,606,684,gradle#18952:ws606/pv684
11:03:13,10033,29624,1,606,684,gradle#18952:ws606/pv684
11:03:23,10018,29623,1,606,684,gradle#18952:ws606/pv684
11:03:34,10073,29568,1,606,684,gradle#18952:ws606/pv684
11:03:44,10114,29597,1,606,684,gradle#18952:ws606/pv684
11:03:55,10107,29596,1,606,684,gradle#18952:ws606/pv684
11:04:05,10129,29579,1,606,684,gradle#18952:ws606/pv684
11:04:16,10146,29538,1,606,684,gradle#18952:ws606/pv684
11:04:26,9730,30277,3,1053,1409,gradle#18952:ws606/pv684|gradle#10388:ws116/pv214|gradle#26024:ws331/pv511
11:04:37,9345,30556,3,1395,1645,gradle#18952:ws607/pv684|gradle#10388:ws100/pv200|gradle#26024:ws688/pv761
11:04:47,9013,30872,3,1707,1944,gradle#18952:ws607/pv684|gradle#10388:ws99/pv197|gradle#26024:ws1001/pv1063
11:04:58,8587,31833,4,2017,2819,gradle#18952:ws608/pv684|gradle#10388:ws99/pv196|gradle#26024:ws1208/pv1277|client#42904:ws102/pv662
11:05:08,8574,31704,4,2074,2712,gradle#18952:ws608/pv684|gradle#10388:ws99/pv196|gradle#26024:ws1097/pv1171|client#42904:ws270/pv661
11:05:19,8410,31721,4,2223,2735,gradle#18952:ws608/pv684|gradle#10388:ws100/pv198|gradle#26024:ws1121/pv1195|client#42904:ws394/pv658
11:05:29,8416,31726,4,2221,2734,gradle#18952:ws608/pv684|gradle#10388:ws99/pv197|gradle#26024:ws1120/pv1194|client#42904:ws394/pv659
11:05:40,8313,31720,4,2357,2734,gradle#18952:ws608/pv684|gradle#10388:ws99/pv197|gradle#26024:ws1120/pv1194|client#42904:ws530/pv659
11:05:50,8330,31733,4,2362,2735,gradle#18952:ws608/pv684|gradle#10388:ws99/pv197|gradle#26024:ws1121/pv1195|client#42904:ws534/pv659
11:06:01,7847,32529,4,2582,2971,gradle#18952:ws825/pv918|gradle#10388:ws99/pv197|gradle#26024:ws1124/pv1197|client#42904:ws534/pv659
11:06:12,8363,31753,4,2443,2812,gradle#18952:ws674/pv749|gradle#10388:ws99/pv197|gradle#26024:ws1136/pv1208|client#42904:ws534/pv658
11:06:22,8339,31803,4,2444,2814,gradle#18952:ws674/pv749|gradle#10388:ws99/pv197|gradle#26024:ws1136/pv1208|client#42904:ws535/pv660
11:06:33,8390,31632,4,2444,2815,gradle#18952:ws674/pv749|gradle#10388:ws99/pv197|gradle#26024:ws1136/pv1208|client#42904:ws535/pv661
