ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
17:43:06.507,2340,8001,56,100,3,45.81,P0,0x0000000000000000
17:43:07.618,2340,8001,54,95,2,37.82,P0,0x0000000000000000
17:43:08.727,2340,8001,55,100,3,44.21,P0,0x0000000000000000
17:43:09.822,2340,8001,56,100,3,45.84,P0,0x0000000000000000
17:43:10.933,2340,8001,54,100,3,42.65,P0,0x0000000000000000
17:43:12.077,2340,8001,54,93,3,32.18,P0,0x0000000000000000
17:43:13.219,2340,8001,56,100,3,43.65,P0,0x0000000000000000
17:43:14.319,2340,8001,55,100,3,45.17,P0,0x0000000000000000
17:43:15.436,2340,7001,54,95,3,33.08,P3,0x0000000000000000
17:43:16.554,2340,8001,55,100,3,43.88,P0,0x0000000000000000
17:43:17.662,2340,8001,55,100,3,44.77,P0,0x0000000000000000
17:43:18.786,2340,8001,54,95,2,35.26,P0,0x0000000000000000
17:43:19.904,2340,8001,53,96,2,33.18,P0,0x0000000000000000
17:43:21.017,2340,8001,55,100,3,44.23,P0,0x0000000000000000
17:43:22.124,2340,8001,53,96,2,34.24,P0,0x0000000000000000
17:43:23.233,2340,8001,53,95,2,35.34,P0,0x0000000000000000
17:43:24.341,2340,8001,55,100,3,45.48,P0,0x0000000000000000
17:43:25.467,2340,8001,55,100,3,45.74,P0,0x0000000000000000
17:43:26.777,2340,8001,55,100,3,45.67,P0,0x0000000000000000
17:43:27.998,2340,7001,54,96,2,34.98,P3,0x0000000000000000
17:43:29.101,2340,8001,54,100,3,34.48,P0,0x0000000000000000
17:43:30.208,2340,8001,55,100,3,45.03,P0,0x0000000000000000
17:43:31.312,2340,8001,55,100,3,45.47,P0,0x0000000000000000
17:43:32.433,2340,8001,55,100,3,46.00,P0,0x0000000000000000
17:43:33.539,2340,8001,55,100,3,45.09,P0,0x0000000000000000
17:43:34.652,2340,8001,54,100,3,45.61,P0,0x0000000000000000
17:43:35.758,2340,7001,53,96,3,32.50,P3,0x0000000000000000
17:43:36.866,2340,8001,55,100,4,53.71,P0,0x0000000000000000
